"Source:","/Users/ros/Desktop/Intro EE/FuzzBox/FuzzBox.kicad_sch"
"Date:","Monday, December 05, 2022 at 05:17:25 PM"
"Tool:","Eeschema (6.0.7-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C2","22u","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"","","C3","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"","","C4","22p","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C5",".22u","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","R1","47k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R2","10k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R3","10k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R4","500k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R5","4.7k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R6","33k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R7","10k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","RV1","R_Potentiometer_US","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"","","SW1","SW_SPST","Switch:SW_SPST","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"","","U1","LM741CN/NOPB","2022-12-05_21-57-36:LM741CN{slash}NOPB","N08E_L",""
"","","U2","LM741CN/NOPB","2022-12-05_21-57-36:LM741CN{slash}NOPB","N08E_L",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"2","1","C2","22u","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"3","1","C3","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"4","1","C4","22p","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"5","1","C5",".22u","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"6","2","D1, D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"7","1","R1","47k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"8","3","R2, R3, R7","10k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"9","1","R4","500k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"10","1","R5","4.7k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"11","1","R6","33k","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"12","1","RV1","R_Potentiometer_US","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"13","1","SW1","SW_SPST","Switch:SW_SPST","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"14","2","U1, U2","LM741CN/NOPB","2022-12-05_21-57-36:LM741CN{slash}NOPB","N08E_L",""
